ASU_Acar ID	NCBI Gene ID	NCBI Gene Symbol	Ensembl Gene ID	Ensembl Gene Name	RefSeq Gene Description from Blast2GO matches
ASU_Acar_G.15265	-	-	-	-	-
ASU_Acar_G.15266	100562303	LOC100562303	ENSACAG00000006103	OCIAD2	-
ASU_Acar_G.15267	100561318	LOC100561318	ENSACAG00000006763	COMMD8	-
ASU_Acar_G.15268	100561906	LOC100561906	ENSACAG00000006354	ZAR1	-
ASU_Acar_G.15269	100563233	LOC100563233	ENSACAG00000006661	-	-
ASU_Acar_G.1527	100561999	LOC100561999	ENSACAG00000005106	RAG1	-
ASU_Acar_G.15270	100563035	LOC100563035	ENSACAG00000006845	GABRA4	-
ASU_Acar_G.15271	-	-	ENSACAG00000005847	-	-
ASU_Acar_G.15272	100562100	LOC100562100	ENSACAG00000006106	OCIAD1	-
ASU_Acar_G.15273	100563622	LOC100563622	ENSACAG00000006581	NIPAL1	-
ASU_Acar_G.15274	100564406	cwh43	-	-	-
ASU_Acar_G.15275	-	-	-	-	-
ASU_Acar_G.15276	100562637	usp46	ENSACAG00000005889	USP46	-
ASU_Acar_G.15277	100562835	LOC100562835	ENSACAG00000005848	RASL11B	-
ASU_Acar_G.15278	100565983	LOC100565983	ENSACAG00000002358	UFL1	-
ASU_Acar_G.15279	-	-	-	-	cgmp-inhibited 3 -cyclic phosphodiesterase b
ASU_Acar_G.1528	-	-	-	-	rna-directed dna polymerase from mobile element jockey-like
ASU_Acar_G.15280	100566572	LOC100566572	ENSACAG00000012661	LMO1	-
ASU_Acar_G.15281	100566384	LOC100566384	ENSACAG00000012682	RIC3	-
ASU_Acar_G.15282	100566764	LOC100566764	ENSACAG00000012603	STK33	-
ASU_Acar_G.15283	100565783	LOC100565783	ENSACAG00000012369	RRAS2	-
ASU_Acar_G.15284	100565195	LOC100565195	ENSACAG00000002354	FUT9	-
ASU_Acar_G.15285	100566184	LOC100566184	ENSACAG00000012730	TUB	-
ASU_Acar_G.15286	100565591	LOC100565591	ENSACAG00000012414	COPB1	-
ASU_Acar_G.15287	-	-	-	-	leucine-rich repeat-containing protein 16c
ASU_Acar_G.15288	100552410	LOC100552410	ENSACAG00000000421	-	-
ASU_Acar_G.15289	100552804	LOC100552804	ENSACAG00000002797	CMTM4	-
ASU_Acar_G.1529	100557069	LOC100557069	ENSACAG00000014640	SLC35C1	-
ASU_Acar_G.15290	-	-	-	-	heterogeneous nuclear ribonucleoprotein c-like
ASU_Acar_G.15291	100555356	LOC100555356	-	-	-
ASU_Acar_G.15292	100557511	LOC100557511	ENSACAG00000001899	E2F4	-
ASU_Acar_G.15293	100554574	LOC100554574	ENSACAG00000001464	TSNAXIP1	-
ASU_Acar_G.15294	100556134	LOC100556134	ENSACAG00000017522	-	-
ASU_Acar_G.15295	-	-	-	-	-
ASU_Acar_G.15296	100556724	LOC100556724	ENSACAG00000002445	NAE1	-
ASU_Acar_G.15297	100556528	LOC100556528	ENSACAG00000002640	DYNC1LI2	-
ASU_Acar_G.15298	100567154	LOC100567154	ENSACAG00000001332	C16orf48	-
ASU_Acar_G.15299	100556330	LOC100556330	ENSACAG00000000318	ZNF507	-
ASU_Acar_G.153	100560026	LOC100560026	ENSACAG00000014712	PNRC1	-
ASU_Acar_G.1530	100558056	LOC100558056	ENSACAG00000010750	RPE	-
ASU_Acar_G.15300	100553198	pdp2	ENSACAG00000002437	PDP2	-
ASU_Acar_G.15301	-	-	-	-	PREDICTED: neural-cadherin-like
ASU_Acar_G.15302	100552213	LOC100552213	-	-	-
ASU_Acar_G.15303	-	-	-	-	zinc finger protein 135-like
ASU_Acar_G.15304	100552608	LOC100552608	ENSACAG00000002812	CMTM3	-
ASU_Acar_G.15305	100567348	LOC100567348	ENSACAG00000001050	CTCF	-
ASU_Acar_G.15306	-	-	-	-	PREDICTED: uncharacterized protein LOC769451
ASU_Acar_G.15307	100567542	LOC100567542	ENSACAG00000003065	-	-
ASU_Acar_G.15308	100553592	LOC100553592	ENSACAG00000002308	TMEM208	-
ASU_Acar_G.15309	100558099	LOC100558099	ENSACAG00000001729	PSKH1	-
ASU_Acar_G.1531	-	-	-	-	-
ASU_Acar_G.15310	100554766	LOC100554766	ENSACAG00000001369	RANBP10	-
ASU_Acar_G.15311	100554965	LOC100554965	ENSACAG00000001298	PARD6A	-
ASU_Acar_G.15312	100553988	LOC100553988	ENSACAG00000001844	EXOC3L1	-
ASU_Acar_G.15313	-	-	-	-	PREDICTED: uncharacterized protein LOC427552
ASU_Acar_G.15314	-	-	ENSACAG00000023632	NRN1L	-
ASU_Acar_G.15315	100555939	LOC100555939	ENSACAG00000002568	SLC7A10	-
ASU_Acar_G.15316	100568193	LOC100568193	-	-	-
ASU_Acar_G.15317	-	-	-	-	ran-binding protein 10-like
ASU_Acar_G.15318	100551822	LOC100551822	ENSACAG00000002808	AARS	-
ASU_Acar_G.15319	100551622	LOC100551622	-	-	-
ASU_Acar_G.1532	100567306	LOC100567306	ENSACAG00000011664	-	-
ASU_Acar_G.15320	-	-	ENSACAG00000001517	CENPT	-
ASU_Acar_G.15321	100555157	LOC100555157	ENSACAG00000000866	FAM65A	-
ASU_Acar_G.15322	100557114	LOC100557114	ENSACAG00000002364	TPPP3	-
ASU_Acar_G.15323	100552018	dpy19l3	ENSACAG00000000383	DPY19L3	-
ASU_Acar_G.15324	100566958	LOC100566958	-	-	-
ASU_Acar_G.15325	100555550	LOC100555550	-	-	-
ASU_Acar_G.15326	100558293	edc4	ENSACAG00000001561	EDC4	-
ASU_Acar_G.15327	100553791	elmo3	ENSACAG00000001972	ELMO3	-
ASU_Acar_G.15328	100554181	LOC100554181	ENSACAG00000001737	CTRL	-
ASU_Acar_G.15329	100553395	LOC100553395	ENSACAG00000002334	ZDHHC1	-
ASU_Acar_G.1533	100557543	serac1	ENSACAG00000004912	SERAC1	-
ASU_Acar_G.15330	-	-	-	-	PREDICTED: hypothetical protein LOC100430013
ASU_Acar_G.15331	100554375	LOC100554375	ENSACAG00000001520	THAP11	-
ASU_Acar_G.15332	-	-	ENSACAG00000001164	RLTPR	-
ASU_Acar_G.15333	-	-	-	-	ran-binding protein 10
ASU_Acar_G.15334	100567736	LOC100567736	-	-	-
ASU_Acar_G.15335	100553791	elmo3	ENSACAG00000001972	ELMO3	-
ASU_Acar_G.15336	100556919	LOC100556919	ENSACAG00000002380	RRAD	-
ASU_Acar_G.15337	-	-	-	-	uncharacterized loc415795
ASU_Acar_G.15338	100558691	gfod2	ENSACAG00000001358	GFOD2	-
ASU_Acar_G.15339	-	-	-	-	zinc finger protein 135-like
ASU_Acar_G.1534	100561346	LOC100561346	-	-	-
ASU_Acar_G.15340	100555742	LOC100555742	-	-	-
ASU_Acar_G.15341	100557310	LOC100557310	ENSACAG00000002306	-	-
ASU_Acar_G.15342	100560532	LOC100560532	-	-	-
ASU_Acar_G.15343	-	-	-	-	fras1-related extracellular matrix protein 2-like
ASU_Acar_G.15344	100558887	fmnl2	ENSACAG00000012719	FMNL2	-
ASU_Acar_G.15345	-	-	-	-	uhrf1-binding protein 1-like
ASU_Acar_G.15346	100559679	galnt13	ENSACAG00000012427	GALNT13	-
ASU_Acar_G.15347	100560141	LOC100560141	-	-	-
ASU_Acar_G.15348	100559281	LOC100559281	ENSACAG00000012408	ARL5A	-
ASU_Acar_G.15349	-	-	-	-	zinc finger protein 135-like
ASU_Acar_G.1535	100557075	LOC100557075	ENSACAG00000008250	HEATR5B	-
ASU_Acar_G.15350	100560924	stam2	ENSACAG00000012530	STAM2	-
ASU_Acar_G.15351	100559481	LOC100559481	ENSACAG00000012401	KCNJ3	-
ASU_Acar_G.15352	-	-	-	-	-
ASU_Acar_G.15353	100337606	cacnb4	ENSACAG00000012454	B6IDG1_ANOCA	-
ASU_Acar_G.15354	100560727	prpf40a	ENSACAG00000012897	PRPF40A	-
ASU_Acar_G.15355	-	-	-	-	zinc finger protein 135-like
ASU_Acar_G.15356	100561711	LOC100561711	ENSACAG00000011319	-	-
ASU_Acar_G.15357	100564739	LOC100564739	ENSACAG00000007774	ZFAND4	-
ASU_Acar_G.15358	100561907	LOC100561907	ENSACAG00000011361	MAPK8	-
ASU_Acar_G.15359	100565922	LOC100565922	ENSACAG00000011896	CHUK	-
ASU_Acar_G.1536	100555707	LOC100555707	-	-	-
ASU_Acar_G.15360	-	-	-	-	peroxisomal n -acetyl-spermine spermidine oxidase-like
ASU_Acar_G.15361	-	-	-	-	-
ASU_Acar_G.15362	100566321	sorbs1	ENSACAG00000012338	SORBS1	-
ASU_Acar_G.15363	100564341	LOC100564341	ENSACAG00000007819	MXD4	-
ASU_Acar_G.15364	100561514	LOC100561514	ENSACAG00000011288	RBP3	-
ASU_Acar_G.15365	100563234	LOC100563234	ENSACAG00000012236	SPERT	-
ASU_Acar_G.15366	100563554	LOC100563554	ENSACAG00000008011	LETM1	-
ASU_Acar_G.15367	-	-	ENSACAG00000007731	ZNF488	-
ASU_Acar_G.15368	100563036	LOC100563036	ENSACAG00000011786	PAOX	-
ASU_Acar_G.15369	-	-	-	-	retrotransposable element tf2 155 kda protein type 1-like
ASU_Acar_G.1537	100552177	rab3gap2	ENSACAG00000001769	RAB3GAP2	-
ASU_Acar_G.15370	100561122	LOC100561122	ENSACAG00000024164	C4orf48	-
ASU_Acar_G.15371	100564937	LOC100564937	ENSACAG00000007735	-	-
ASU_Acar_G.15372	-	-	-	-	retrotransposable element tf2 155 kda protein type 1-like
ASU_Acar_G.15373	100565329	LOC100565329	ENSACAG00000011655	DRGX	-
ASU_Acar_G.15374	100566701	hells	ENSACAG00000012570	HELLS	-
ASU_Acar_G.15375	100562101	LOC100562101	ENSACAG00000011623	LRRC18	-
ASU_Acar_G.15376	100564143	LOC100564143	ENSACAG00000007821	NAT8L	-
ASU_Acar_G.15377	100562638	LOC100562638	ENSACAG00000011765	CXCL12	-
ASU_Acar_G.15378	100566122	LOC100566122	ENSACAG00000012239	COG3	-
ASU_Acar_G.15379	100564539	LOC100564539	ENSACAG00000027470	-	-
ASU_Acar_G.1538	100553101	LOC100553101	ENSACAG00000014588	AARS2	-
ASU_Acar_G.15380	100565922	LOC100565922	ENSACAG00000011896	CHUK	-
ASU_Acar_G.15381	100565131	LOC100565131	ENSACAG00000007733	PPYR1	-
ASU_Acar_G.15382	100563747	LOC100563747	ENSACAG00000007905	WHSC1	-
ASU_Acar_G.15383	100563945	LOC100563945	ENSACAG00000007827	WHSC2	-
ASU_Acar_G.15384	100565922	LOC100565922	ENSACAG00000027548	FAM194B	-
ASU_Acar_G.15385	-	-	ENSACAG00000025734	C10orf71	-
ASU_Acar_G.15386	100565525	ercc6	ENSACAG00000011685	ERCC6	-
ASU_Acar_G.15387	100562836	LOC100562836	ENSACAG00000011767	TMEM72	-
ASU_Acar_G.15388	100562443	LOC100562443	ENSACAG00000011627	VSTM4	-
ASU_Acar_G.15389	100566508	LOC100566508	ENSACAG00000012502	PDLIM1	-
ASU_Acar_G.1539	-	-	-	-	-
ASU_Acar_G.15390	100551757	LOC100551757	ENSACAG00000012410	MOGAT2	-
ASU_Acar_G.15391	100551952	LOC100551952	ENSACAG00000010271	ARHGEF17	-
ASU_Acar_G.15392	100567605	LOC100567605	ENSACAG00000002310	GDPD5	-
ASU_Acar_G.15393	100567092	LOC100567092	ENSACAG00000002169	RPS3	-
ASU_Acar_G.15394	-	-	-	-	PREDICTED: hypothetical protein LOC100707133
ASU_Acar_G.15395	100552148	LOC100552148	ENSACAG00000010267	P2RY6	-
ASU_Acar_G.15396	100566895	fchsd2	ENSACAG00000002097	FCHSD2	-
ASU_Acar_G.15397	100552937	uvrag	ENSACAG00000012675	UVRAG	-
ASU_Acar_G.15398	100568127	LOC100568127	-	-	-
ASU_Acar_G.15399	100567283	LOC100567283	ENSACAG00000002229	SERPINH1	-
ASU_Acar_G.154	-	-	-	-	-
ASU_Acar_G.1540	100563124	LOC100563124	ENSACAG00000010150	-	-
ASU_Acar_G.15400	100553134	LOC100553134	ENSACAG00000012725	WNT11	-
ASU_Acar_G.15401	100551556	LOC100551556	ENSACAG00000012394	MAP6	-
ASU_Acar_G.15402	100552542	LOC100552542	ENSACAG00000012365	KLHL35	-
ASU_Acar_G.15403	100567802	LOC100567802	-	-	-
ASU_Acar_G.15404	100552345	LOC100552345	-	-	-
ASU_Acar_G.15405	100552736	dgat2	ENSACAG00000012460	DGAT2	-
ASU_Acar_G.15406	-	-	-	-	-
ASU_Acar_G.15407	-	-	-	-	-
ASU_Acar_G.15408	-	-	-	-	potassium voltage-gated channel subfamily kqt member 1-like
ASU_Acar_G.15409	-	-	-	-	-
ASU_Acar_G.1541	100567892	LOC100567892	ENSACAG00000001686	NKAIN2	-
ASU_Acar_G.15410	100554122	LOC100554122	-	-	-
ASU_Acar_G.15411	100553929	LOC100553929	ENSACAG00000012186	URI1	-
ASU_Acar_G.15412	100553729	tshz3	ENSACAG00000012280	TSHZ3	-
ASU_Acar_G.15413	-	-	-	-	-
ASU_Acar_G.15414	-	-	-	-	-dihydroxyvitamin d 24- mitochondrial-like
ASU_Acar_G.15415	100553330	znf536	ENSACAG00000012257	ZNF536	-
ASU_Acar_G.15416	100553527	LOC100553527	ENSACAG00000014781	CCNE1	-
ASU_Acar_G.15417	100558364	LOC100558364	ENSACAG00000012902	RALGPS2	-
ASU_Acar_G.15418	100558957	LOC100558957	ENSACAG00000012336	NPHS2	-
ASU_Acar_G.15419	100557382	scyl3	ENSACAG00000012830	SCYL3	-
ASU_Acar_G.1542	100564432	LOC100564432	-	-	-
ASU_Acar_G.15420	-	-	ENSACAG00000012335	AXDND1	-
ASU_Acar_G.15421	100558758	LOC100558758	ENSACAG00000012264	TOR3A	-
ASU_Acar_G.15422	100555879	LOC100555879	ENSACAG00000013117	-	-
ASU_Acar_G.15423	100559151	angptl1	ENSACAG00000013089	ANGPTL1	-
ASU_Acar_G.15424	-	-	-	-	sex comb on midleg-like protein 2-like
ASU_Acar_G.15425	-	-	-	-	-
ASU_Acar_G.15426	100555292	LOC100555292	ENSACAG00000012993	METTL11B	-
ASU_Acar_G.15427	100554900	kifap3	ENSACAG00000012884	KIFAP3	-
ASU_Acar_G.15428	100554509	LOC100554509	ENSACAG00000012783	-	-
ASU_Acar_G.15429	100556073	LOC100556073	ENSACAG00000013187	FMO2	-
ASU_Acar_G.1543	100560500	LOC100560500	ENSACAG00000008183	AIG1	-
ASU_Acar_G.15430	100559741	LOC100559741	ENSACAG00000012702	VAMP4	-
ASU_Acar_G.15431	100557774	sec16b	ENSACAG00000012601	-	-
ASU_Acar_G.15432	100558167	LOC100558167	ENSACAG00000012811	RASAL2	-
ASU_Acar_G.15433	100555093	LOC100555093	ENSACAG00000013109	FAM20B	-
ASU_Acar_G.15434	-	-	-	-	ras gtpase-activating protein ngap-like
ASU_Acar_G.15435	100557581	LOC100557581	-	-	-
ASU_Acar_G.15436	100555490	LOC100555490	ENSACAG00000013005	GORAB	-
ASU_Acar_G.15437	100556854	LOC100556854	ENSACAG00000012674	ITPA	-
ASU_Acar_G.15438	100556270	soat1	-	-	-
ASU_Acar_G.15439	100556465	LOC100556465	ENSACAG00000012384	HSD17B7	-
ASU_Acar_G.1544	100566010	LOC100566010	ENSACAG00000007437	LBH	-
ASU_Acar_G.15440	100554702	LOC100554702	ENSACAG00000026155	FASLG	-
ASU_Acar_G.15441	100559546	mettl13	ENSACAG00000012638	METTL13	-
ASU_Acar_G.15442	100557188	LOC100557188	-	-	-
ASU_Acar_G.15443	-	-	-	-	dual specificity tyrosine-phosphorylation-regulated kinase 1a-like
ASU_Acar_G.15444	100558561	abl2	ENSACAG00000012151	ABL2	-
ASU_Acar_G.15445	100559348	LOC100559348	ENSACAG00000012439	DDR2	-
ASU_Acar_G.15446	100557971	LOC100557971	ENSACAG00000012790	-	-
ASU_Acar_G.15447	100556659	LOC100556659	ENSACAG00000012562	UAP1	-
ASU_Acar_G.15448	-	-	-	-	-
ASU_Acar_G.15449	100559941	LOC100559941	ENSACAG00000012760	PRRC2C	-
ASU_Acar_G.1545	-	-	-	-	-
ASU_Acar_G.15450	-	-	-	-	uhrf1-binding protein 1-like
ASU_Acar_G.15451	-	-	-	-	zinc finger protein 197-like
ASU_Acar_G.15452	100555685	LOC100555685	ENSACAG00000013020	-	-
ASU_Acar_G.15453	-	-	ENSACAG00000003914	DDRGK1	-
ASU_Acar_G.15454	100561123	LOC100561123	ENSACAG00000003941	SLC4A11	-
ASU_Acar_G.15455	100560728	atrn	ENSACAG00000004189	ATRN	-
ASU_Acar_G.15456	-	-	ENSACAG00000003965	-	-
ASU_Acar_G.15457	100560142	LOC100560142	ENSACAG00000028070	HTR7	-
ASU_Acar_G.15458	-	-	ENSACAG00000003914	DDRGK1	-
ASU_Acar_G.15459	100561123	LOC100561123	ENSACAG00000003941	SLC4A11	-
ASU_Acar_G.1546	100559373	LOC100559373	ENSACAG00000015840	PROSER1	-
ASU_Acar_G.15460	100560925	LOC100560925	ENSACAG00000003970	C20orf194	-
ASU_Acar_G.15461	100560533	LOC100560533	ENSACAG00000004532	GFRA4	-
ASU_Acar_G.15462	-	-	-	-	zinc finger and scan domain-containing protein 2-like
ASU_Acar_G.15463	100561712	LOC100561712	ENSACAG00000003644	NMI	-
ASU_Acar_G.15464	-	-	-	-	telomere-associated protein rif1-like
ASU_Acar_G.15465	100562304	LOC100562304	ENSACAG00000003558	LYPD6	-
ASU_Acar_G.15466	-	-	-	-	PREDICTED: hypothetical protein LOC100563667
ASU_Acar_G.15467	100562102	LOC100562102	ENSACAG00000003555	LYPD6B	-
ASU_Acar_G.15468	100561320	LOC100561320	ENSACAG00000003571	MMADHC	-
ASU_Acar_G.15469	100562897	rif1	ENSACAG00000003714	RIF1	-
ASU_Acar_G.1547	100564828	LOC100564828	ENSACAG00000016070	FGF4	-
ASU_Acar_G.15470	100562698	LOC100562698	ENSACAG00000003674	CRELD2	-
ASU_Acar_G.15471	-	-	-	-	PREDICTED: hypothetical protein LOC100710874
ASU_Acar_G.15472	100562501	LOC100562501	ENSACAG00000003613	RND3	-
ASU_Acar_G.15473	100563097	neb	ENSACAG00000003769	NEB	-
ASU_Acar_G.15474	-	-	-	-	-dihydroxyvitamin d 24- mitochondrial-like
ASU_Acar_G.15475	-	-	-	-	PREDICTED: hypothetical protein
ASU_Acar_G.15476	-	-	-	-	-
ASU_Acar_G.15477	100564806	LOC100564806	ENSACAG00000012136	PTMA	-
ASU_Acar_G.15478	100566765	LOC100566765	-	-	-
ASU_Acar_G.15479	-	-	-	-	cytochrome p450 2d6-like
ASU_Acar_G.1548	100554086	LOC100554086	ENSACAG00000007028	UST	-
ASU_Acar_G.15480	100565784	LOC100565784	ENSACAG00000011141	-	-
ASU_Acar_G.15481	100563820	LOC100563820	ENSACAG00000010984	CHRND	-
ASU_Acar_G.15482	100566385	LOC100566385	ENSACAG00000011953	-	-
ASU_Acar_G.15483	-	-	-	-	-
ASU_Acar_G.15484	100564211	LOC100564211	ENSACAG00000011262	-	-
ASU_Acar_G.15485	100565196	LOC100565196	ENSACAG00000010564	-	-
ASU_Acar_G.15486	-	-	-	-	PREDICTED: hypothetical protein LOC100537186
ASU_Acar_G.15487	100564605	LOC100564605	ENSACAG00000012101	PDE6D	-
ASU_Acar_G.15488	-	-	-	-	endothelin-converting enzyme-like 1-like
ASU_Acar_G.15489	-	-	-	-	ribosomal protein l23a-like
ASU_Acar_G.1549	-	-	ENSACAG00000009990	-	-
ASU_Acar_G.15490	100564407	LOC100564407	ENSACAG00000012044	COPS7B	-
ASU_Acar_G.15491	100565393	LOC100565393	ENSACAG00000010910	CHRNG	-
ASU_Acar_G.15492	100565984	LOC100565984	ENSACAG00000011253	-	-
ASU_Acar_G.15493	100566573	LOC100566573	ENSACAG00000011987	DIS3L2	-
ASU_Acar_G.15494	100565004	LOC100565004	ENSACAG00000010244	-	-
ASU_Acar_G.15495	100563292	LOC100563292	ENSACAG00000010241	-	-
ASU_Acar_G.15496	100565592	LOC100565592	ENSACAG00000011112	-	-
ASU_Acar_G.15497	100567349	LOC100567349	ENSACAG00000001002	B3GNT7	-
ASU_Acar_G.15498	100563485	LOC100563485	ENSACAG00000010833	EIF4E2	-
ASU_Acar_G.15499	100567155	LOC100567155	ENSACAG00000001006	NCL	-
ASU_Acar_G.155	100558984	LOC100558984	ENSACAG00000008611	CTR9	-
ASU_Acar_G.1550	100555050	LOC100555050	ENSACAG00000024211	-	-
ASU_Acar_G.15500	100566185	LOC100566185	ENSACAG00000011629	-	-
ASU_Acar_G.15501	100566185	LOC100566185	ENSACAG00000011629	-	-
ASU_Acar_G.15502	100566959	LOC100566959	ENSACAG00000001114	NMUR1	-
ASU_Acar_G.15503	100551557	LOC100551557	ENSACAG00000006081	SIGMAR1	-
ASU_Acar_G.15504	-	-	-	-	ciliary neurotrophic factor receptor subunit alpha-like
ASU_Acar_G.15505	100551758	LOC100551758	ENSACAG00000006105	GALT	-
ASU_Acar_G.15506	-	-	-	-	-
ASU_Acar_G.15507	100568128	LOC100568128	ENSACAG00000022472	ARID3C	-
ASU_Acar_G.15508	100567934	LOC100567934	ENSACAG00000014160	DNAJB5	-
ASU_Acar_G.15509	-	-	-	-	zinc finger protein 135-like
ASU_Acar_G.1551	100558324	ttk	ENSACAG00000017368	TTK	-
ASU_Acar_G.15510	-	-	-	-	solute carrier organic anion transporter family member 3a1-like
ASU_Acar_G.15511	100567737	LOC100567737	ENSACAG00000014122	CNTFR	-
ASU_Acar_G.15512	-	-	-	-	-
ASU_Acar_G.15513	100554182	LOC100554182	ENSACAG00000002397	-	-
ASU_Acar_G.15514	100555551	LOC100555551	-	-	-
ASU_Acar_G.15515	-	-	-	-	-
ASU_Acar_G.15516	100554376	LOC100554376	-	-	-
ASU_Acar_G.15517	100554767	LOC100554767	ENSACAG00000002971	RNF6	-
ASU_Acar_G.15518	-	-	-	-	-
ASU_Acar_G.15519	-	-	-	-	storkhead-box protein 1-like
ASU_Acar_G.1552	100567112	LOC100567112	ENSACAG00000017158	NGB	-
ASU_Acar_G.15520	100552481	LOC100552481	ENSACAG00000003127	GPR12	-
ASU_Acar_G.15521	-	-	-	-	-
ASU_Acar_G.15522	100556135	mtmr6	ENSACAG00000002107	MTMR6	-
ASU_Acar_G.15523	100552149	wasf3	ENSACAG00000003083	WASF3	-
ASU_Acar_G.15524	100553076	LOC100553076	ENSACAG00000002295	NUPL1	-
ASU_Acar_G.15525	-	-	-	-	-
ASU_Acar_G.15526	100555357	LOC100555357	ENSACAG00000003216	GTF3A	-
ASU_Acar_G.15527	100553792	LOC100553792	-	-	-
ASU_Acar_G.15528	100555940	LOC100555940	ENSACAG00000003334	CDX2	-
ASU_Acar_G.15529	100553396	LOC100553396	ENSACAG00000003250	MTIF3	-
ASU_Acar_G.1553	100561209	slc24a4	ENSACAG00000009184	SLC24A4	-
ASU_Acar_G.15530	100553593	LOC100553593	ENSACAG00000003256	LNX2	-
ASU_Acar_G.15531	100555158	LOC100555158	ENSACAG00000003190	RASL11A	-
ASU_Acar_G.15532	100552876	LOC100552876	ENSACAG00000003169	RPL21	-
ASU_Acar_G.15533	-	-	-	-	retrotransposable element tf2 155 kda protein type 1-like
ASU_Acar_G.15534	-	-	-	-	-
ASU_Acar_G.15535	100555743	LOC100555743	ENSACAG00000003305	PDX1	-
ASU_Acar_G.15536	100552678	usp12	ENSACAG00000003130	USP12	-
ASU_Acar_G.15537	-	-	-	-	-
ASU_Acar_G.15538	100553989	LOC100553989	ENSACAG00000002377	SHISA2	-
ASU_Acar_G.15539	100554966	LOC100554966	ENSACAG00000003031	CDK8	-
ASU_Acar_G.1554	100553037	LOC100553037	-	-	-
ASU_Acar_G.15540	100556855	LOC100556855	ENSACAG00000014186	EIF4E	-
ASU_Acar_G.15541	-	-	-	-	-dihydroxyvitamin d 24- mitochondrial-like
ASU_Acar_G.15542	100557189	LOC100557189	-	-	-
ASU_Acar_G.15543	100556529	LOC100556529	ENSACAG00000014139	TSPAN5	-
ASU_Acar_G.15544	-	-	-	-	-dihydroxyvitamin d 24- mitochondrial-like
ASU_Acar_G.15545	100557189	LOC100557189	ENSACAG00000004446	-	-
ASU_Acar_G.15546	100557383	LOC100557383	ENSACAG00000013966	C4orf37	-
ASU_Acar_G.15547	-	-	-	-	-
ASU_Acar_G.15548	100556331	rap1gds1	ENSACAG00000013983	RAP1GDS1	-
ASU_Acar_G.15549	-	-	-	-	PREDICTED: hypothetical protein LOC100430013
ASU_Acar_G.1555	100553487	LOC100553487	ENSACAG00000014342	SLC35F1	-
ASU_Acar_G.15550	100557582	LOC100557582	ENSACAG00000014229	METAP1	-
ASU_Acar_G.15551	100557775	LOC100557775	ENSACAG00000014296	ADH5	-
ASU_Acar_G.15552	100558294	LOC100558294	ENSACAG00000012591	-	-
ASU_Acar_G.15553	100559349	LOC100559349	ENSACAG00000014522	KIAA0319L	-
ASU_Acar_G.15554	100559742	kcnq4	ENSACAG00000012490	KCNQ4	-
ASU_Acar_G.15555	100558958	LOC100558958	ENSACAG00000011591	TMEM39B	-
ASU_Acar_G.15556	100560143	LOC100560143	ENSACAG00000012399	PEF1	-
ASU_Acar_G.15557	100560534	LOC100560534	ENSACAG00000011853	-	-
ASU_Acar_G.15558	100559547	LOC100559547	ENSACAG00000026707	-	-
ASU_Acar_G.15559	-	-	-	-	endonuclease flj39025-like
ASU_Acar_G.1556	100561151	LOC100561151	ENSACAG00000009936	TSPAN32	-
ASU_Acar_G.15560	-	-	-	-	-
ASU_Acar_G.15561	-	-	-	-	PREDICTED: hypothetical protein LOC100627906
ASU_Acar_G.15562	100557972	smap2	ENSACAG00000014470	SMAP2	-
ASU_Acar_G.15563	100560729	LOC100560729	ENSACAG00000011693	KHDRBS1	-
ASU_Acar_G.15564	100559942	LOC100559942	ENSACAG00000012412	TINAGL1	-
ASU_Acar_G.15565	100558759	LOC100558759	ENSACAG00000011807	PTP4A2	-
ASU_Acar_G.15566	-	-	-	-	-
ASU_Acar_G.15567	100560340	col16a1	ENSACAG00000012220	COL16A1	-
ASU_Acar_G.15568	-	-	ENSACAG00000011847	SPOCD1	-
ASU_Acar_G.15569	100559152	LOC100559152	ENSACAG00000014787	NCDN	-
ASU_Acar_G.1557	100567959	LOC100567959	ENSACAG00000016400	CPB2	-
ASU_Acar_G.15570	100561713	LOC100561713	-	-	-
ASU_Acar_G.15571	-	-	-	-	PREDICTED: hypothetical protein LOC100561713
ASU_Acar_G.15572	-	-	-	-	-
ASU_Acar_G.15573	100561909	LOC100561909	-	-	-
ASU_Acar_G.15574	-	-	-	-	-
ASU_Acar_G.15575	-	-	-	-	PREDICTED: hypothetical protein
ASU_Acar_G.15576	-	-	-	-	-
ASU_Acar_G.15577	-	-	-	-	-
ASU_Acar_G.15578	100562103	LOC100562103	-	-	-
ASU_Acar_G.15579	-	-	-	-	retrotransposable element tf2 155 kda protein type 1-like
ASU_Acar_G.1558	100566083	LOC100566083	ENSACAG00000000956	FAM49A	-
ASU_Acar_G.15580	100563878	LOC100563878	ENSACAG00000015051	CTSB	-
ASU_Acar_G.15581	-	-	-	-	-
ASU_Acar_G.15582	100562502	LOC100562502	-	-	-
ASU_Acar_G.15583	-	-	-	-	integrin alpha-1-like
ASU_Acar_G.15584	-	-	-	-	PREDICTED: hypothetical protein LOC100692986
ASU_Acar_G.15585	100560926	fdft1	ENSACAG00000015108	-	-
ASU_Acar_G.15586	100561516	LOC100561516	-	-	-
ASU_Acar_G.15587	-	-	-	-	PREDICTED: hypothetical protein LOC100561713
ASU_Acar_G.15588	100562898	LOC100562898	-	-	-
ASU_Acar_G.15589	-	-	-	-	PREDICTED: hypothetical protein LOC100563098
ASU_Acar_G.1559	100560821	LOC100560821	ENSACAG00000002254	MIA3	-
