ASU_Acar ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
ASU.Acar.G.15919	echinoderm microtubule-associated 3-like	50	gi|301624432|ref|XP_002941503.1|PREDICTED: echinoderm microtubule-associated protein-like 3-like [Xenopus (Silurana) tropicalis]	XP_002941503	7.99427E-16	90	83.1889	43	39	
ASU.Acar.G.15931	fh1 fh2 domain-containing protein 3-like isoform 1	57	gi|224045864|ref|XP_002186705.1|PREDICTED: similar to rCG49416, partial [Taeniopygia guttata]	XP_002186705	7.3586E-22	94	103.219	54	51	
ASU.Acar.G.15974	ribosome biogenesis protein bop1	74	gi|363746328|ref|XP_423665.3|PREDICTED: ribosome biogenesis protein bop1, partial [Gallus gallus]	XP_423665	2.00288E-35	97	148.288	74	72	
ASU.Acar.G.16050	prostaglandin e2 receptor ep2 subtype-like	82	gi|348572025|ref|XP_003471795.1|PREDICTED: prostaglandin E2 receptor EP2 subtype-like [Cavia porcellus]	XP_003471795	5.59763E-17	71	87.0409	80	57	
ASU.Acar.G.16096	cathepsin z-like	119	gi|327288646|ref|XP_003229037.1|PREDICTED: cathepsin Z-like [Anolis carolinensis]	XP_003229037	2.32298E-23	94	108.227	53	50	
ASU.Acar.G.16105	PREDICTED: hypothetical protein LOC100566453 [Anolis carolinensis]	583	gi|327288668|ref|XP_003229048.1|PREDICTED: hypothetical protein LOC100566453 [Anolis carolinensis]	XP_003229048	2.17566E-87	72	324.709	283	205	
ASU.Acar.G.16133	c-c chemokine receptor type 4-like	209	gi|297303213|ref|XP_002806154.1|PREDICTED: hypothetical protein LOC100430013 [Macaca mulatta]	XP_002806154	5.09581E-23	50	108.612	208	105	
ASU.Acar.G.16139	zinc finger protein 560-like	101	gi|327266494|ref|XP_003218040.1|PREDICTED: zinc finger protein 560-like [Anolis carolinensis]	XP_003218040	2.05049E-11	57	68.5514	95	55	
ASU.Acar.G.16176	uhrf1-binding protein 1-like	466	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	1.19241E-138	70	494.582	456	323	
ASU.Acar.G.16198	dynein heavy chain axonemal	172	gi|297487796|ref|XP_002696494.1|PREDICTED: dynein heavy chain 5, axonemal [Bos taurus]	XP_002696494	1.43286E-71	97	269.24	140	136	
ASU.Acar.G.16201	transcriptional adapter 2-alpha-like	257	gi|327284688|ref|XP_003227068.1|PREDICTED: transcriptional adapter 2-alpha-like [Anolis carolinensis]	XP_003227068	1.52099E-15	59	84.3445	109	65	
ASU.Acar.G.16241	ras-related protein rab-13	112	gi|224084388|ref|XP_002192012.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002192012	4.76864E-16	97	83.9593	42	41	
ASU.Acar.G.16269	low quality protein: rab11 family-interacting protein partial	73	gi|363733683|ref|XP_420890.3|PREDICTED: LOW QUALITY PROTEIN: rab11 family-interacting protein 5, partial [Gallus gallus]	XP_420890	2.9118E-18	85	91.2781	70	60	
ASU.Acar.G.16310	hexosaminidase d-like	150	gi|326929100|ref|XP_003210709.1|PREDICTED: hexosaminidase D-like [Meleagris gallopavo]	XP_003210709	3.98689E-33	58	140.969	158	92	
ASU.Acar.G.16357	uhrf1-binding protein 1-like	148	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	1.4874E-29	64	129.028	134	86	
ASU.Acar.G.16478	c-c chemokine receptor type 4-like	213	gi|297303213|ref|XP_002806154.1|PREDICTED: hypothetical protein LOC100430013 [Macaca mulatta]	XP_002806154	1.35534E-18	52	93.9745	176	92	
ASU.Acar.G.16486	low quality protein: dna-directed rna polymerase i subunit rpa34	387	gi|125838126|ref|XP_001332164.1|PREDICTED: hypothetical protein LOC792693 [Danio rerio]	XP_001332164	6.4128E-7	51	56.6102	68	35	
ASU.Acar.G.16523	tumor necrosis factor receptor superfamily member 14	276	gi|73956625|ref|XP_549666.2|PREDICTED: tumor necrosis factor receptor superfamily member 14 [Canis lupus familiaris]	XP_549666	7.918E-37	56	155.221	165	94	
ASU.Acar.G.16556	PREDICTED: uncharacterized protein C9orf142-like [Ornithorhynchus anatinus]	196	gi|345320546|ref|XP_003430303.1|PREDICTED: uncharacterized protein C9orf142-like [Ornithorhynchus anatinus]	XP_003430303	4.0272E-16	57	85.5001	137	79	
ASU.Acar.G.16641	nerve growth factor receptor precursor	100	gi|148237480|ref|NP_001081944.1|p75-like transmembrane protein fullback precursor [Xenopus laevis]	NP_001081944	7.5116E-30	79	129.798	99	79	
ASU.Acar.G.16668	PREDICTED: hypothetical protein [Taeniopygia guttata]	1124	gi|224168216|ref|XP_002197062.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002197062	9.5441E-32	40	140.969	839	339	
ASU.Acar.G.16677	udp- c:betagal beta- -n-acetylglucosaminyltransferase 3-like	120	gi|301629181|ref|XP_002943726.1|PREDICTED: hypothetical protein LOC100485304 [Xenopus (Silurana) tropicalis]	XP_002943726	7.47252E-14	67	76.6406	74	50	
ASU.Acar.G.16737	kinesin-like protein kif3c-like	108	gi|363732541|ref|XP_426988.3|PREDICTED: kinesin-like protein KIF3C-like [Gallus gallus]	XP_426988	1.02688E-39	92	162.54	92	85	
ASU.Acar.G.16776	sh3 and multiple ankyrin repeat domains protein 3-like	68	gi|301625376|ref|XP_002941881.1|PREDICTED: SH3 and multiple ankyrin repeat domains protein 3-like [Xenopus (Silurana) tropicalis]	XP_002941881	1.15189E-30	92	132.494	68	63	
ASU.Acar.G.16803	t cell receptor alpha constant	130	gi|363743256|ref|XP_001232062.2|PREDICTED: uncharacterized protein LOC769232 [Gallus gallus]	XP_001232062	5.06962E-10	43	63.929	134	58	
ASU.Acar.G.16824	protein sidekick-1 precursor	90	gi|45383896|ref|NP_989436.1|protein sidekick-1 precursor [Gallus gallus]	NP_989436	7.36542E-46	94	182.956	90	85	
ASU.Acar.G.16845	uhrf1-binding protein 1-like	195	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	8.21568E-46	62	184.111	193	121	
ASU.Acar.G.16851	ring finger protein 186-like	196	gi|348571253|ref|XP_003471410.1|PREDICTED: RING finger protein 186-like [Cavia porcellus]	XP_003471410	1.2548E-9	57	63.929	100	57	
ASU.Acar.G.16952	neurogenic locus notch homolog protein 1	200	gi|363740489|ref|XP_415420.3|PREDICTED: neurogenic locus notch homolog protein 1 [Gallus gallus]	XP_415420	1.28138E-105	93	382.874	195	182	
ASU.Acar.G.16973	dysferlin isoform 13	376	gi|345782481|ref|XP_003432282.1|PREDICTED: dysferlin isoform 13 [Canis lupus familiaris]	XP_003432282	3.9783E-147	74	522.316	396	295	
ASU.Acar.G.17030	PREDICTED: hypothetical protein LOC100681638 [Ornithorhynchus anatinus]	215	gi|345307407|ref|XP_003428571.1|PREDICTED: hypothetical protein LOC100681638 [Ornithorhynchus anatinus]	XP_003428571	1.38762E-79	78	296.59	213	167	
ASU.Acar.G.17033	condensin-2 complex subunit g2-like	132	gi|301611394|ref|XP_002935219.1|PREDICTED: condensin-2 complex subunit G2-like [Xenopus (Silurana) tropicalis]	XP_002935219	2.32735E-31	66	134.806	129	86	
ASU.Acar.G.17049	zona pellucida sperm-binding protein 3 precursor	59	gi|195224747|ref|NP_989720.2|zona pellucida sperm-binding protein 3 precursor [Gallus gallus]	NP_989720	3.43103E-14	74	77.7962	59	44	
ASU.Acar.G.17150	leucine rich repeat and ig domain containing 2	341	gi|149413010|ref|XP_001505252.1|PREDICTED: leucine rich repeat and Ig domain containing 2 [Ornithorhynchus anatinus]	XP_001505252	5.26463E-71	69	269.24	266	185	
ASU.Acar.G.17162	collagen alpha-1 chain-like	241	gi|327275189|ref|XP_003222356.1|PREDICTED: collagen alpha-1(XV) chain-like [Anolis carolinensis]	XP_003222356	9.12933E-4	38	45.0542	185	72	
ASU.Acar.G.17183	histone-lysine n-methyltransferase setmar-like	169	gi|327266924|ref|XP_003218253.1|PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Anolis carolinensis]	XP_003218253	1.05738E-15	60	83.5741	92	56	
ASU.Acar.G.17216	transcriptional adapter 2-alpha-like	195	gi|297303213|ref|XP_002806154.1|PREDICTED: hypothetical protein LOC100430013 [Macaca mulatta]	XP_002806154	7.01981E-13	47	74.7146	139	66	
ASU.Acar.G.17254	odd oz ten-m homolog 4	129	gi|224043705|ref|XP_002190028.1|PREDICTED: odz, odd Oz/ten-m homolog 4 (Drosophila) [Taeniopygia guttata]	XP_002190028	4.9884E-74	97	276.559	129	126	
ASU.Acar.G.17314	PREDICTED: hypothetical protein [Taeniopygia guttata]	92	gi|224097967|ref|XP_002191269.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002191269	5.11364E-23	76	107.071	96	73	
ASU.Acar.G.17316	nik related kinase	79	gi|71895623|ref|NP_001026297.1|Nik related kinase [Gallus gallus]	NP_001026297	7.30731E-41	100	166.392	79	79	
ASU.Acar.G.17317	transcriptional adapter 2-alpha-like	548	gi|297303213|ref|XP_002806154.1|PREDICTED: hypothetical protein LOC100430013 [Macaca mulatta]	XP_002806154	1.05075E-19	46	99.7525	241	112	
ASU.Acar.G.17347	e3 ubiquitin-protein ligase traf7	93	gi|348518000|ref|XP_003446520.1|PREDICTED: E3 ubiquitin-protein ligase TRAF7 [Oreochromis niloticus]	XP_003446520	8.37129E-42	100	169.474	85	85	
ASU.Acar.G.17363	e3 ubiquitin-protein ligase ubr4-like	500	gi|326932488|ref|XP_003212348.1|PREDICTED: e3 ubiquitin-protein ligase UBR4-like [Meleagris gallopavo]	XP_003212348	1.74313E-175	88	617.076	355	314	
ASU.Acar.G.17364	ubiquitin protein ligase e3 component n-recognin 4	365	gi|224080413|ref|XP_002189916.1|PREDICTED: ubiquitin protein ligase E3 component n-recognin 4 [Taeniopygia guttata]	XP_002189916	1.07469E-133	83	477.633	307	257	
ASU.Acar.G.17387	serine threonine-protein kinase 32c	113	gi|348542535|ref|XP_003458740.1|PREDICTED: hypothetical protein LOC100695614 [Oreochromis niloticus]	XP_003458740	3.65124E-8	82	57.7658	34	28	
ASU.Acar.G.17392	v-type proton atpase subunit partial	163	gi|149445804|ref|XP_001515020.1|PREDICTED: V-type proton ATPase subunit S1, partial [Ornithorhynchus anatinus]	XP_001515020	8.93624E-46	71	183.341	164	117	
ASU.Acar.G.17408	coiled-coil domain-containing protein 66-like	238	gi|327266010|ref|XP_003217800.1|PREDICTED: coiled-coil domain-containing protein 66-like [Anolis carolinensis]	XP_003217800	4.11732E-17	74	89.3521	78	58	
ASU.Acar.G.17412	cytosolic carboxypeptidase 4	100	gi|345326892|ref|XP_003431093.1|PREDICTED: cytosolic carboxypeptidase 4 [Ornithorhynchus anatinus]	XP_003431093	1.91463E-25	70	115.161	92	65	
ASU.Acar.G.17425	PREDICTED: similar to PALM [Taeniopygia guttata]	180	gi|224087653|ref|XP_002193573.1|PREDICTED: similar to PALM [Taeniopygia guttata]	XP_002193573	1.28994E-12	46	73.559	164	76	
ASU.Acar.G.17445	PREDICTED: hypothetical protein LOC100038050 [Xenopus (Silurana) tropicalis]	412	gi|301626312|ref|XP_002942337.1|PREDICTED: hypothetical protein LOC100038050 [Xenopus (Silurana) tropicalis]	XP_002942337	1.3248E-5	37	52.373	207	78	
ASU.Acar.G.17512	uncharacterized protein C20orf160 homolog [Mus musculus]	89	gi|197245339|ref|NP_663511.2|uncharacterized protein C20orf160 homolog [Mus musculus]	NP_663511	9.97665E-43	98	172.555	89	88	
ASU.Acar.G.17513	fanconi anemia group a partial	180	gi|345321027|ref|XP_001506665.2|PREDICTED: Fanconi anemia group A protein-like, partial [Ornithorhynchus anatinus]	XP_001506665	2.51164E-16	65	85.8853	119	78	
ASU.Acar.G.17529	l-gulonolactone oxidase-like	73	gi|118089133|ref|XP_001234314.1|PREDICTED: L-gulonolactone oxidase-like [Gallus gallus]	XP_001234314	4.05368E-28	93	124.02	72	67	
ASU.Acar.G.17578	extracellular matrix protein fras1	59	gi|363733278|ref|XP_420470.3|PREDICTED: extracellular matrix protein FRAS1 [Gallus gallus]	XP_420470	3.78466E-21	86	100.908	59	51	
ASU.Acar.G.17600	proton-coupled amino acid transporter 4	113	gi|363729240|ref|XP_417200.3|PREDICTED: proton-coupled amino acid transporter 4 [Gallus gallus]	XP_417200	2.11588E-48	89	191.43	113	101	
ASU.Acar.G.17633	xylosyltransferase 1	115	gi|118098014|ref|XP_414904.2|PREDICTED: xylosyltransferase 1 [Gallus gallus]	XP_414904	3.46344E-59	97	227.254	113	110	
ASU.Acar.G.17638	far upstream element binding protein 3	84	gi|224073528|ref|XP_002195336.1|PREDICTED: far upstream element (FUSE) binding protein 3 [Taeniopygia guttata]	XP_002195336	1.42058E-12	51	72.4034	89	46	
ASU.Acar.G.17640	e3 ubiquitin-protein ligase trim9	73	gi|363735034|ref|XP_421468.3|PREDICTED: E3 ubiquitin-protein ligase TRIM9 [Gallus gallus]	XP_421468	8.43285E-34	100	142.895	73	73	
ASU.Acar.G.17647	basement membrane-specific heparan sulfate proteoglycan core	329	gi|301627002|ref|XP_002942671.1|PREDICTED: basement membrane-specific heparan sulfate proteoglycan core protein-like [Xenopus (Silurana) tropicalis]	XP_002942671	1.28808E-127	77	457.218	329	255	
ASU.Acar.G.17735	slam family member 7-like	213	gi|327289988|ref|XP_003229706.1|PREDICTED: SLAM family member 7-like [Anolis carolinensis]	XP_003229706	2.91773E-21	54	102.834	135	74	
ASU.Acar.G.17742	rho guanine nucleotide exchange factor 10-like	105	gi|197100265|ref|NP_001127607.1|rho guanine nucleotide exchange factor 10-like protein [Pongo abelii]	NP_001127607	4.50579E-27	65	120.553	105	69	
ASU.Acar.G.17747	selenocysteine-specific elongation factor-like	52	gi|327266041|ref|XP_003217815.1|PREDICTED: selenocysteine-specific elongation factor-like [Anolis carolinensis]	XP_003217815	6.72436E-23	100	106.686	52	52	
ASU.Acar.G.17752	phd finger protein 21a-like isoform 3	115	gi|109106594|ref|XP_001112561.1|PREDICTED: PHD finger protein 21A-like isoform 3 [Macaca mulatta]	XP_001112561	4.38127E-54	96	210.305	115	111	
ASU.Acar.G.17759	ubiquitin domain-containing protein ubfd1-like	94	gi|327289960|ref|XP_003229692.1|PREDICTED: ubiquitin domain-containing protein UBFD1-like [Anolis carolinensis]	XP_003229692	1.09089E-41	95	169.088	84	80	
ASU.Acar.G.17776	egf-like- multiple 7	190	gi|363740487|ref|XP_415421.3|PREDICTED: EGF-like-domain, multiple 7 [Gallus gallus]	XP_415421	1.0377E-50	66	200.29	165	109	
ASU.Acar.G.17779	tyrosine non- 2b	132	gi|121583968|ref|NP_001073486.1|tyrosine kinase, non-receptor, 2b [Danio rerio]	NP_001073486	1.26821E-53	84	208.764	135	114	
ASU.Acar.G.17801	protein dopey-2-like	156	gi|363728726|ref|XP_003640541.1|PREDICTED: protein dopey-2-like [Gallus gallus]	XP_003640541	1.68927E-64	88	245.358	155	137	
ASU.Acar.G.17803	probable exonuclease mut-7 homolog	56	gi|326930167|ref|XP_003211223.1|PREDICTED: probable exonuclease mut-7 homolog [Meleagris gallopavo]	XP_003211223	1.76325E-7	61	55.4546	55	34	
ASU.Acar.G.17810	vacuolar protein sorting-associated protein 45-like	108	gi|71896173|ref|NP_001026764.1|vacuolar protein sorting-associated protein 45 [Gallus gallus]	NP_001026764	2.53516E-30	97	131.339	72	70	
ASU.Acar.G.17813	claudin-7 isoform 1	101	gi|109113067|ref|XP_001107265.1|PREDICTED: claudin-7 isoform 1 [Macaca mulatta]	XP_001107265	1.41672E-20	73	98.9821	83	61	
ASU.Acar.G.17837	amyloid beta a4 precursor protein-binding family a member 2	318	gi|118095658|ref|XP_413771.2|PREDICTED: amyloid beta A4 precursor protein-binding family A member 2 [Gallus gallus]	XP_413771	2.87228E-76	57	286.574	331	190	
ASU.Acar.G.17847	latent-transforming growth factor beta-binding protein 3 precursor	183	gi|300794962|ref|NP_001179667.1|latent-transforming growth factor beta-binding protein 3 precursor [Bos taurus]	NP_001179667	4.44056E-48	63	191.43	198	125	
ASU.Acar.G.17885	v-set and immunoglobulin domain-containing protein 10-like	247	gi|224071940|ref|XP_002196289.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002196289	9.14915E-47	63	187.963	194	123	
ASU.Acar.G.179	trna modification gtpase mitochondrial-like	91	gi|149605447|ref|XP_001518750.1|PREDICTED: tRNA modification GTPase GTPBP3, mitochondrial-like [Ornithorhynchus anatinus]	XP_001518750	1.03505E-15	61	82.8037	76	47	
ASU.Acar.G.1800	immunoglobulin superfamily dcc subclass member 3-like	211	gi|326926859|ref|XP_003209614.1|PREDICTED: immunoglobulin superfamily DCC subclass member 3-like [Meleagris gallopavo]	XP_003209614	1.2647E-69	78	263.462	197	154	
ASU.Acar.G.18051	uncharacterized protein LOC100192222 [Danio rerio]	461	gi|210147391|ref|NP_001129728.1|uncharacterized protein LOC100192222 [Danio rerio]	NP_001129728	6.05127E-10	58	67.0106	124	72	
ASU.Acar.G.18054	pol polyprotein	218	gi|224154272|ref|XP_002188773.1|PREDICTED: similar to Pol polyprotein [Taeniopygia guttata]	XP_002188773	2.23274E-40	65	166.392	166	108	
ASU.Acar.G.18119	uhrf1-binding protein 1-like	986	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	0.0	81	1065.06	751	615	
ASU.Acar.G.18126	phospholipase a2 inhibitor subunit gamma b-like	57	gi|327276214|ref|XP_003222865.1|PREDICTED: phospholipase A2 inhibitor subunit gamma B-like [Anolis carolinensis]	XP_003222865	6.46142E-10	64	63.5438	57	37	
ASU.Acar.G.1844	PREDICTED: hypothetical protein LOC100539646 [Meleagris gallopavo]	126	gi|326914875|ref|XP_003203748.1|PREDICTED: hypothetical protein LOC100539646 [Meleagris gallopavo]	XP_003203748	4.91862E-26	73	117.087	94	69	
ASU.Acar.G.2017	hypothetical protein BRAFLDRAFT_117940 [Branchiostoma floridae]	1433	gi|260831498|ref|XP_002610696.1|hypothetical protein BRAFLDRAFT_117940 [Branchiostoma floridae]	XP_002610696	2.24061E-73	64	279.641	290	186	
ASU.Acar.G.2052	zinc finger protein 483-like	571	gi|327277075|ref|XP_003223291.1|PREDICTED: zinc finger protein 483-like [Anolis carolinensis]	XP_003223291	3.29085E-64	45	247.669	526	241	
ASU.Acar.G.2113	zinc finger protein 197-like	236	gi|327266606|ref|XP_003218095.1|PREDICTED: hypothetical protein LOC100566605 [Anolis carolinensis]	XP_003218095	2.41636E-70	74	266.159	213	159	
ASU.Acar.G.2125	tnf receptor-associated factor 3 (cd40 receptor-associated factor 1) (cd40-binding protein) (lmp1-associated protein) (cap-1)	383	gi|260795015|ref|XP_002592502.1|hypothetical protein BRAFLDRAFT_68993 [Branchiostoma floridae]	XP_002592502	7.43835E-40	49	166.007	342	170	
ASU.Acar.G.2405	acylamino-acid-releasing enzyme-like	270	gi|326927752|ref|XP_003210054.1|PREDICTED: acylamino-acid-releasing enzyme-like [Meleagris gallopavo]	XP_003210054	7.00942E-91	77	334.724	250	194	
ASU.Acar.G.2791	cdkn2aip n-terminal-like	127	gi|347300342|ref|NP_001231466.1|CDKN2AIP N-terminal-like protein [Sus scrofa]	NP_001231466	2.60428E-30	80	131.339	93	75	
ASU.Acar.G.2901	tripartite motif-containing protein 10-like	211	gi|150247116|ref|NP_001092829.1|uncharacterized protein LOC430359 [Gallus gallus]	NP_001092829	1.24213E-16	58	87.4261	126	74	
ASU.Acar.G.2996	homeobox protein tgif2-like	182	gi|327271678|ref|XP_003220614.1|PREDICTED: homeobox protein TGIF2-like [Anolis carolinensis]	XP_003220614	3.45068E-61	91	234.958	131	120	
ASU.Acar.G.3037	phosphotidylinositol phosphatase ptprq-like	377	gi|327260600|ref|XP_003215122.1|PREDICTED: hypothetical protein LOC100563843 [Anolis carolinensis]	XP_003215122	1.31806E-57	83	224.942	155	129	
ASU.Acar.G.3088	methyl- -binding domain protein 1	151	gi|301628286|ref|XP_002943288.1|PREDICTED: methyl-CpG-binding domain protein 1 [Xenopus (Silurana) tropicalis]	XP_002943288	3.33736E-43	70	174.481	150	105	
ASU.Acar.G.3102	leukotriene c4 synthase	113	gi|224067750|ref|XP_002195697.1|PREDICTED: similar to leukotriene C4 synthase [Taeniopygia guttata]	XP_002195697	6.21364E-16	67	83.5741	80	54	
ASU.Acar.G.3287	dipeptidyl peptidase 9	150	gi|334326609|ref|XP_001374989.2|PREDICTED: dipeptidyl peptidase 9 [Monodelphis domestica]	XP_001374989	6.13665E-42	66	170.244	135	90	
ASU.Acar.G.3334	retrotransposable element tf2 155 kda protein type 1-like	330	gi|327282189|ref|XP_003225826.1|PREDICTED: retrotransposable element Tf2 155 kDa protein type 1-like [Anolis carolinensis]	XP_003225826	3.80987E-87	84	322.783	217	184	
ASU.Acar.G.3684	zinc finger protein 729-like	360	gi|297706232|ref|XP_002829940.1|PREDICTED: LOW QUALITY PROTEIN: zinc finger protein 135-like [Pongo abelii]	XP_002829940	2.52822E-103	74	376.711	282	211	
ASU.Acar.G.4439	carbohydrate sulfotransferase 7	257	gi|126337139|ref|XP_001365882.1|PREDICTED: carbohydrate sulfotransferase 7 [Monodelphis domestica]	XP_001365882	6.53663E-51	70	201.83	158	112	
ASU.Acar.G.4507	retrotransposable element tf2 155 kda protein type 1-like	307	gi|327282189|ref|XP_003225826.1|PREDICTED: retrotransposable element Tf2 155 kDa protein type 1-like [Anolis carolinensis]	XP_003225826	3.42157E-79	85	296.204	195	166	
ASU.Acar.G.4715	ubiquitin-conjugating enzyme e2 q1-like	85	gi|297280140|ref|XP_001111833.2|PREDICTED: ubiquitin-conjugating enzyme E2 Q1-like [Macaca mulatta]	XP_001111833	1.46687E-9	61	62.3882	65	40	
ASU.Acar.G.4753	rho-related gtp-binding	76	gi|327258994|ref|XP_003214323.1|PREDICTED: rho-related GTP-binding protein RhoJ-like [Anolis carolinensis]	XP_003214323	3.40968E-27	100	120.939	56	56	
ASU.Acar.G.494	n -(beta-n-acetylglucosaminyl)-l-asparaginase-like	175	gi|115529427|ref|NP_001070234.1|uncharacterized protein LOC767799 [Danio rerio]	NP_001070234	8.93774E-32	72	137.117	120	87	
ASU.Acar.G.5356	zinc transporter slc39a7 precursor	92	gi|348576402|ref|XP_003473976.1|PREDICTED: zinc transporter SLC39A7-like [Cavia porcellus]	XP_003473976	2.30074E-15	56	81.6481	99	56	
ASU.Acar.G.5360	immediate early response gene 5	165	gi|297302477|ref|XP_002805997.1|PREDICTED: immediate early response gene 5 protein-like [Macaca mulatta]	XP_002805997	3.22397E-14	83	78.5666	55	46	
ASU.Acar.G.5545	nuclease harbi1-like	440	gi|326665390|ref|XP_002661050.2|PREDICTED: putative nuclease HARBI1-like [Danio rerio]	XP_002661050	6.39985E-54	53	213.001	345	186	
ASU.Acar.G.5863	cmrf35-like molecule 7-like	304	gi|149732512|ref|XP_001496610.1|PREDICTED: CMRF35-like molecule 7-like [Equus caballus]	XP_001496610	1.59659E-4	46	48.1358	83	39	
ASU.Acar.G.6130	PREDICTED: uncharacterized protein LOC771811 [Gallus gallus]	486	gi|118094564|ref|XP_001235038.1|PREDICTED: uncharacterized protein LOC771811 [Gallus gallus]	XP_001235038	5.47559E-9	43	63.929	172	74	
ASU.Acar.G.6549	replication protein a 70 kda dna-binding subunit-like	147	gi|327283810|ref|XP_003226633.1|PREDICTED: replication protein A 70 kDa DNA-binding subunit-like [Anolis carolinensis]	XP_003226633	4.2107E-29	49	127.487	180	89	
ASU.Acar.G.6757	protein shisa-9-like	195	gi|363727846|ref|XP_003640428.1|PREDICTED: protein shisa-9-like [Gallus gallus]	XP_003640428	8.44295E-67	87	253.832	140	122	
ASU.Acar.G.73	40s ribosomal protein s11-like	79	gi|126330004|ref|XP_001363138.1|PREDICTED: 40S ribosomal protein S11-like [Monodelphis domestica]	XP_001363138	2.98052E-26	84	117.857	77	65	
ASU.Acar.G.7523	PREDICTED: hypothetical protein [Taeniopygia guttata]	916	gi|224044769|ref|XP_002190071.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002190071	0.0	85	1207.59	761	650	
ASU.Acar.G.7560	bcl-2-like protein 12-like	363	gi|301621914|ref|XP_002940285.1|PREDICTED: hypothetical protein LOC100493181 [Xenopus (Silurana) tropicalis]	XP_002940285	1.37345E-64	49	248.054	453	224	
ASU.Acar.G.7956	run domain beclin-1 interacting and cystein-rich containing	166	gi|327284574|ref|XP_003227012.1|PREDICTED: run domain Beclin-1 interacting and cystein-rich containing protein-like [Anolis carolinensis]	XP_003227012	1.3187E-55	90	216.083	120	108	
ASU.Acar.G.7963	otu domain-containing protein 1-like	368	gi|224044784|ref|XP_002190856.1|PREDICTED: similar to hCG2019360 [Taeniopygia guttata]	XP_002190856	1.48772E-90	60	334.339	357	216	
ASU.Acar.G.8078	protein dbf4 homolog b	278	gi|363743373|ref|XP_001234426.2|PREDICTED: protein DBF4 homolog B [Gallus gallus]	XP_001234426	2.95875E-23	48	110.153	186	91	
ASU.Acar.G.810	insulin receptor substrate 2-like	325	gi|292617489|ref|XP_700746.4|PREDICTED: insulin receptor substrate 2 [Danio rerio]	XP_700746	1.12985E-51	60	204.912	241	146	
ASU.Acar.G.8168	interferon-induced 35 kda protein homolog	98	gi|348509300|ref|XP_003442188.1|PREDICTED: hypothetical protein LOC100698035 [Oreochromis niloticus]	XP_003442188	3.2882E-17	64	87.8113	91	59	
ASU.Acar.G.8179	pleckstrin homology domain-containing family h member 3-like	558	gi|363743578|ref|XP_001235307.2|PREDICTED: pleckstrin homology domain-containing family H member 3-like [Gallus gallus]	XP_001235307	3.59587E-116	64	420.239	421	271	
ASU.Acar.G.8288	kin of irre-like protein 3	85	gi|363742574|ref|XP_003642655.1|PREDICTED: kin of IRRE-like protein 3 [Gallus gallus]	XP_003642655	1.23031E-40	98	165.622	85	84	
ASU.Acar.G.8302	zinc finger protein 224-like	335	gi|327286138|ref|XP_003227788.1|PREDICTED: zinc finger protein 224-like [Anolis carolinensis]	XP_003227788	2.01327E-67	65	257.299	305	199	
ASU.Acar.G.8363	accs protein	129	gi|224051020|ref|XP_002198611.1|PREDICTED: similar to Accs protein [Taeniopygia guttata]	XP_002198611	2.11535E-40	78	164.851	112	88	
ASU.Acar.G.8367	proline rich 15	111	gi|224045324|ref|XP_002193631.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002193631	2.71405E-11	50	68.1662	106	53	
ASU.Acar.G.8378	glutamate receptor delta-2 subunit	58	gi|345326834|ref|XP_001509188.2|PREDICTED: glutamate receptor delta-2 subunit [Ornithorhynchus anatinus]	XP_001509188	1.94326E-25	98	115.161	58	57	
ASU.Acar.G.839	histone h2b type 1	227	gi|327270185|ref|XP_003219870.1|PREDICTED: polypeptide N-acetylgalactosaminyltransferase 12-like [Anolis carolinensis]	XP_003219870	8.71629E-14	41	78.1814	158	65	
ASU.Acar.G.8404	sodium channel protein type 1 subunit alpha-like	91	gi|326922811|ref|XP_003207638.1|PREDICTED: sodium channel protein type 1 subunit alpha-like [Meleagris gallopavo]	XP_003207638	1.75735E-31	78	135.191	88	69	
ASU.Acar.G.8409	solute carrier family sodium borate member 11	116	gi|363733673|ref|XP_420881.3|PREDICTED: solute carrier family 4, sodium borate transporter, member 11 [Gallus gallus]	XP_420881	2.75698E-32	65	137.887	116	76	
