ASU Unmapped Transcript ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
a15566	beta-crystallin b2-like	401	gi|348516180|ref|XP_003445617.1|PREDICTED: beta-crystallin B2-like [Oreochromis niloticus]	XP_003445617	6.78869E-32	97	136.732	81	79	
a15572	creb-regulated transcription coactivator 2	756	gi|126307734|ref|XP_001372628.1|PREDICTED: CREB-regulated transcription coactivator 2 [Monodelphis domestica]	XP_001372628	1.27153E-36	57	154.451	182	105	
a15575	dexamethasone-induced ras-related protein 1-like	567	gi|327285816|ref|XP_003227628.1|PREDICTED: dexamethasone-induced Ras-related protein 1-like [Anolis carolinensis]	XP_003227628	8.19067E-41	98	167.548	82	81	
a15576	integral membrane protein 2b	581	gi|348524072|ref|XP_003449547.1|PREDICTED: integral membrane protein 2B-like [Oreochromis niloticus]	XP_003449547	6.53754E-73	80	274.248	195	157	
a15577	nacht and wd repeat domain-containing protein 1	908	gi|260793551|ref|XP_002591775.1|hypothetical protein BRAFLDRAFT_83549 [Branchiostoma floridae]	XP_002591775	1.52635E-24	48	114.775	236	115	
a15579	sodium iodide cotransporter	484	gi|363745930|ref|XP_429095.3|PREDICTED: sodium/iodide cotransporter [Gallus gallus]	XP_429095	2.52411E-67	90	254.988	161	146	
a155867	protein prrc1	393	gi|297294983|ref|XP_002804577.1|PREDICTED: protein PRRC1-like [Macaca mulatta]	XP_002804577	1.50929E-63	96	241.891	130	125	
a15588	seizure protein 6 homolog	1447	gi|326918112|ref|XP_003205335.1|PREDICTED: LOW QUALITY PROTEIN: seizure protein 6 homolog [Meleagris gallopavo]	XP_003205335	3.73164E-35	80	150.984	140	112	
a15593	adp atp translocase 3-like	573	gi|54020693|ref|NP_989562.2|adenine nucleotide translocator 3 [Gallus gallus]	NP_989562	1.16374E-18	100	93.9745	43	43	
a15595	breast cancer anti-estrogen resistance 1	540	gi|363738076|ref|XP_414057.3|PREDICTED: LOW QUALITY PROTEIN: breast cancer anti-estrogen resistance protein 1 [Gallus gallus]	XP_414057	1.54946E-35	65	149.828	128	84	
a155981	epsin 2	338	gi|327280644|ref|XP_003225062.1|PREDICTED: epsin-1-like [Anolis carolinensis]	XP_003225062	3.66082E-25	65	114.39	87	57	
a15601	anthrax toxin receptor 1	994	gi|126304011|ref|XP_001381695.1|PREDICTED: anthrax toxin receptor 1 [Monodelphis domestica]	XP_001381695	1.39296E-122	96	440.654	232	225	
a15603	alpha-methylacyl- racemase	480	gi|71895383|ref|NP_001026619.1|alpha-methylacyl-CoA racemase [Gallus gallus]	NP_001026619	2.5718E-11	89	68.9366	65	58	
a15613	fructose-bisphosphate aldolase a	300	gi|348501948|ref|XP_003438531.1|PREDICTED: fructose-bisphosphate aldolase A [Oreochromis niloticus]	XP_003438531	3.26664E-50	98	197.593	100	98	
a15617	zinc finger protein castor homolog 1	729	gi|363741972|ref|XP_417611.3|PREDICTED: zinc finger protein castor homolog 1 [Gallus gallus]	XP_417611	1.45635E-50	80	200.675	140	112	
a15618	type i cytoskeletal 13-like	1092	gi|348509898|ref|XP_003442483.1|PREDICTED: keratin, type I cytoskeletal 13-like [Oreochromis niloticus]	XP_003442483	2.1581E-135	90	483.411	310	280	
a15620	sodium-dependent neutral amino acid transporter b at3-like	405	gi|224045904|ref|XP_002187681.1|PREDICTED: similar to orphan transport XT2 [Taeniopygia guttata]	XP_002187681	1.55764E-36	79	152.14	99	79	
a15632	chz-cadherin precursor	540	gi|301609757|ref|XP_002934428.1|PREDICTED: protocadherin-23-like [Xenopus (Silurana) tropicalis]	XP_002934428	6.54017E-18	71	91.2781	116	83	
a15639	e3 ubiquitin-protein ligase arkadia	2539	gi|315075292|ref|NP_001186680.1|E3 ubiquitin-protein ligase Arkadia [Gallus gallus]	NP_001186680	1.39842E-150	69	535.413	734	507	
a15640	interferon regulatory factor 2-binding	3268	gi|224051538|ref|XP_002200019.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002200019	0.0	63	819.305	765	486	
a15641	afg3-like protein 2	3896	gi|363730673|ref|XP_419121.2|PREDICTED: AFG3-like protein 2 [Gallus gallus]	XP_419121	0.0	89	1285.78	808	727	
a15642	dna-binding protein inhibitor id-3	1075	gi|326936072|ref|XP_003214082.1|PREDICTED: DNA-binding protein inhibitor ID-3-A-like [Meleagris gallopavo]	XP_003214082	7.98072E-26	65	119.398	127	83	
a15643	nuclear receptor corepressor 1	1455	gi|326931529|ref|XP_003211881.1|PREDICTED: nuclear receptor corepressor 1-like [Meleagris gallopavo]	XP_003211881	0.0	93	668.692	456	428	
a15644	phd finger protein 23	2753	gi|226423861|ref|NP_084340.2|PHD finger protein 23 [Mus musculus]	NP_084340	7.53961E-81	59	303.908	395	235	
a15646	transcription factor rfx4-like	3966	gi|327272328|ref|XP_003220937.1|PREDICTED: transcription factor RFX4-like [Anolis carolinensis]	XP_003220937	9.03348E-163	99	576.63	323	322	
a15650	phospholipase a2 inhibitor subunit gamma b-like	1649	gi|327276234|ref|XP_003222875.1|PREDICTED: phospholipase A2 inhibitor subunit gamma B-like [Anolis carolinensis]	XP_003222875	1.76E-108	96	394.815	198	192	
a15653	zinc finger protein 850-like	528	gi|327291294|ref|XP_003230356.1|PREDICTED: zinc finger protein 850-like [Anolis carolinensis]	XP_003230356	6.13431E-82	85	303.908	174	148	
a15654	mitofusin-2	2986	gi|354504763|ref|XP_003514443.1|PREDICTED: mitofusin-2 [Cricetulus griseus]	XP_003514443	0.0	86	1163.29	753	654	
a15655	zinc finger protein 112 homolog isoform 1	522	gi|327290957|ref|XP_003230188.1|PREDICTED: zinc finger protein 135-like [Anolis carolinensis]	XP_003230188	2.85209E-76	79	285.034	171	136	
a15657	platelet-activating factor acetylhydrolase ib subunit beta	2121	gi|224083121|ref|XP_002190232.1|PREDICTED: platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa [Taeniopygia guttata]	XP_002190232	2.09372E-112	94	408.297	229	216	
a15658	upf0608 protein c19orf42 homolog	797	gi|296233205|ref|XP_002761912.1|PREDICTED: UPF0608 protein C19orf42-like [Callithrix jacchus]	XP_002761912	2.75313E-24	98	113.62	58	57	
a15660	fragile x mental retardation syndrome-related protein 2	4331	gi|332250899|ref|XP_003274587.1|PREDICTED: LOW QUALITY PROTEIN: fragile X mental retardation syndrome-related protein 2-like [Nomascus leucogenys]	XP_003274587	0.0	72	814.683	660	477	
a15670	rna-binding protein 45	2175	gi|327282004|ref|XP_003225735.1|PREDICTED: RNA-binding protein 45-like [Anolis carolinensis]	XP_003225735	5.65569E-129	97	463.381	243	238	
a15671	btb poz domain-containing protein 2-like	2259	gi|334326746|ref|XP_001371955.2|PREDICTED: BTB/POZ domain-containing protein 2-like [Monodelphis domestica]	XP_001371955	0.0	96	823.157	433	417	
a15674	e3 ubiquitin-protein ligase rnf181-like	824	gi|345321013|ref|XP_001513994.2|PREDICTED: E3 ubiquitin-protein ligase RNF181-like [Ornithorhynchus anatinus]	XP_001513994	5.21991E-66	83	252.292	158	132	
a15676	39s ribosomal protein mitochondrial	720	gi|338718638|ref|XP_003363866.1|PREDICTED: 39S ribosomal protein L34, mitochondrial-like [Equus caballus]	XP_003363866	2.88955E-19	68	96.6709	86	59	
a1568	mitogen-activated protein kinase kinase kinase kinase 4-like	1068	gi|71895623|ref|NP_001026297.1|Nik related kinase [Gallus gallus]	NP_001026297	5.25535E-171	98	601.668	335	331	
a15680	general transcription factor 3c polypeptide 1	2781	gi|327289173|ref|XP_003229299.1|PREDICTED: general transcription factor 3C polypeptide 1-like [Anolis carolinensis]	XP_003229299	0.0	83	700.664	425	353	
a15681	protein sgt1 isoform 1	3150	gi|297301148|ref|XP_002805730.1|PREDICTED: protein SGT1 isoform 2 [Macaca mulatta]	XP_002805730	0.0	76	780.015	661	505	
a15682	zinc finger and scan domain-containing protein 21-like	2614	gi|327288706|ref|XP_003229067.1|PREDICTED: zinc finger protein 658-like [Anolis carolinensis]	XP_003229067	9.36545E-41	100	170.629	76	76	
a15683	monocarboxylate transporter 10	855	gi|224048301|ref|XP_002191589.1|PREDICTED: solute carrier family 16, member 10 (aromatic amino acid transporter) [Taeniopygia guttata]	XP_002191589	1.74483E-35	87	150.984	93	81	
a15685	PREDICTED: uncharacterized protein LOC100857505 [Gallus gallus]	536	gi|363729350|ref|XP_003640634.1|PREDICTED: uncharacterized protein LOC100857505 [Gallus gallus]	XP_003640634	5.11296E-7	71	55.0694	42	30	
a15687	zinc finger protein 420-like	646	gi|327266466|ref|XP_003218026.1|PREDICTED: zinc finger protein 420-like [Anolis carolinensis]	XP_003218026	3.99695E-96	96	351.673	166	161	
a15693	ankyrin repeat domain-containing protein 40	1078	gi|327265121|ref|XP_003217357.1|PREDICTED: ankyrin repeat domain-containing protein 40-like [Anolis carolinensis]	XP_003217357	1.89447E-51	100	204.527	99	99	
a15694	receptor expression-enhancing protein 6	833	gi|148233509|ref|NP_001088158.1|receptor accessory protein 6 [Xenopus laevis]	NP_001088158	2.23609E-64	77	246.899	178	138	
a15698	3-hydroxybutyrate dehydrogenase type 2	1415	gi|224049483|ref|XP_002196239.1|PREDICTED: 3-hydroxybutyrate dehydrogenase, type 2 [Taeniopygia guttata]	XP_002196239	1.49677E-113	93	411.379	245	228	
a15699	electron transfer flavoprotein subunit mitochondrial-like	2262	gi|291410743|ref|XP_002721642.1|PREDICTED: electron transfer flavoprotein, alpha polypeptide [Oryctolagus cuniculus]	XP_002721642	9.36512E-151	90	535.798	323	292	
a15701	iron-responsive element-binding protein 2	5855	gi|345323318|ref|XP_001513243.2|PREDICTED: iron-responsive element-binding protein 2 [Ornithorhynchus anatinus]	XP_001513243	0.0	88	1567.75	958	846	
a15702	zinc finger protein 850-like	1521	gi|327288961|ref|XP_003229193.1|PREDICTED: zinc finger protein 729-like [Anolis carolinensis]	XP_003229193	3.73733E-150	61	533.102	514	318	
a15704	pith domain-containing protein 1-like	1546	gi|350539017|ref|NP_001232597.1|putative thioredoxin family Trp26 variant 1 [Taeniopygia guttata]	NP_001232597	1.2912E-89	90	332.028	191	173	
a15706	acyl-coenzyme a thioesterase mitochondrial	908	gi|327268204|ref|XP_003218888.1|PREDICTED: acyl-coenzyme A thioesterase 9, mitochondrial-like [Anolis carolinensis]	XP_003218888	7.04103E-46	100	185.652	89	89	
a15707	dna replication licensing factor mcm6	2834	gi|327260632|ref|XP_003215138.1|PREDICTED: DNA replication licensing factor MCM6-like [Anolis carolinensis]	XP_003215138	0.0	88	1037.33	668	592	
a15709	actin-related protein 2 3 complex subunit 5-like	2238	gi|301761860|ref|XP_002916350.1|PREDICTED: actin-related protein 2/3 complex subunit 5-like protein-like [Ailuropoda melanoleuca]	XP_002916350	1.33202E-56	82	223.016	161	133	
a15710	upf0172 protein fam158a-like	905	gi|126278175|ref|XP_001380159.1|PREDICTED: UPF0172 protein FAM158A-like [Monodelphis domestica]	XP_001380159	5.67503E-80	80	298.901	210	168	
a157136	26s proteasome non-atpase regulatory subunit 5	329	gi|326923375|ref|XP_003207912.1|PREDICTED: 26S proteasome non-ATPase regulatory subunit 5-like [Meleagris gallopavo]	XP_003207912	9.35565E-26	86	116.316	76	66	
a15717	pre-mrna-processing factor 39	1893	gi|157954079|ref|NP_001103259.1|pre-mRNA-processing factor 39 [Bos taurus]	NP_001103259	9.65898E-122	76	439.113	354	271	
a15720	phenazine biosynthesis-like domain-containing	2028	gi|327277962|ref|XP_003223732.1|PREDICTED: phenazine biosynthesis-like domain-containing protein-like [Anolis carolinensis]	XP_003223732	4.7702E-74	92	280.796	158	146	
a15722	zinc transporter zip2-like	1408	gi|62859723|ref|NP_001015957.1|solute carrier family 39 (zinc transporter), member 1 [Xenopus (Silurana) tropicalis]	NP_001015957	1.0186E-29	44	132.88	270	121	
a15724	cmp-sialic acid transporter-like	4195	gi|327261529|ref|XP_003215582.1|PREDICTED: CMP-sialic acid transporter-like [Anolis carolinensis]	XP_003215582	0.0	100	656.751	338	338	
a15726	group 3 secretory phospholipase a2	2922	gi|291406862|ref|XP_002719757.1|PREDICTED: Group 3 secretory phospholipase A2-like [Oryctolagus cuniculus]	XP_002719757	8.61722E-75	50	283.878	447	226	
a15728	adiponectin receptor protein 1	2583	gi|327290206|ref|XP_003229814.1|PREDICTED: adiponectin receptor protein 1-like [Anolis carolinensis]	XP_003229814	0.0	100	681.789	375	375	
a15729	dna-directed rna polymerase iii subunit rpc3	5013	gi|84370055|ref|NP_001033600.1|DNA-directed RNA polymerase III subunit RPC3 [Bos taurus]	NP_001033600	0.0	82	719.539	541	446	
a15730	PREDICTED: hypothetical protein LOC100496475 [Xenopus (Silurana) tropicalis]	2680	gi|301616361|ref|XP_002937628.1|PREDICTED: hypothetical protein LOC100496475 [Xenopus (Silurana) tropicalis]	XP_002937628	1.13929E-41	49	173.711	390	193	
a15731	PREDICTED: hypothetical protein LOC100496475 [Xenopus (Silurana) tropicalis]	2623	gi|301616361|ref|XP_002937628.1|PREDICTED: hypothetical protein LOC100496475 [Xenopus (Silurana) tropicalis]	XP_002937628	1.45075E-41	49	173.326	390	192	
a157358	histone-lysine n-methyltransferase ehmt1	365	gi|327286602|ref|XP_003228019.1|PREDICTED: histone-lysine N-methyltransferase EHMT1-like [Anolis carolinensis]	XP_003228019	4.51366E-36	100	150.599	73	73	
a15740	tar dna-binding protein 43	1193	gi|197097374|ref|NP_001127597.1|TAR DNA-binding protein 43 [Pongo abelii]	NP_001127597	4.03088E-29	98	130.568	79	78	
a15741	transmembrane protein 109-like	2707	gi|327278850|ref|XP_003224173.1|PREDICTED: transmembrane protein 109-like [Anolis carolinensis]	XP_003224173	1.38648E-95	99	352.829	234	232	
a15742	transmembrane protein 109-like	2674	gi|327278850|ref|XP_003224173.1|PREDICTED: transmembrane protein 109-like [Anolis carolinensis]	XP_003224173	1.36665E-95	99	352.829	234	232	
a15743	protein rogdi homolog	2815	gi|327280091|ref|XP_003224787.1|PREDICTED: protein rogdi homolog [Anolis carolinensis]	XP_003224787	1.92555E-156	100	555.058	274	274	
a15744	zinc finger protein 850-like	549	gi|327291294|ref|XP_003230356.1|PREDICTED: zinc finger protein 850-like [Anolis carolinensis]	XP_003230356	1.06556E-103	92	376.326	183	170	
a15745	cytochrome c oxidase subunit mitochondrial-like	863	gi|327261829|ref|XP_003215730.1|PREDICTED: cytochrome c oxidase subunit 7A2, mitochondrial-like [Anolis carolinensis]	XP_003215730	8.29257E-17	73	88.9669	68	50	
a15746	comm domain-containing protein 7-like	1622	gi|348581362|ref|XP_003476446.1|PREDICTED: COMM domain-containing protein 7-like [Cavia porcellus]	XP_003476446	4.00773E-73	76	277.33	229	176	
a15747	erlin-1	1637	gi|334313648|ref|XP_001377959.2|PREDICTED: LOW QUALITY PROTEIN: erlin-1-like [Monodelphis domestica]	XP_001377959	7.06121E-118	79	426.017	321	256	
a15748	ribonuclease p protein subunit p29-like	1420	gi|225543478|ref|NP_001139386.1|processing of precursor 4 [Gallus gallus]	NP_001139386	3.60618E-83	81	310.457	222	182	
a15753	mediator of rna polymerase ii transcription subunit 18-like	1247	gi|363744250|ref|XP_003643008.1|PREDICTED: mediator of RNA polymerase II transcription subunit 18-like [Gallus gallus]	XP_003643008	3.43509E-111	98	403.29	208	205	
a15754	zinc finger protein 420-like	1367	gi|327279638|ref|XP_003224563.1|PREDICTED: zinc finger protein 420-like [Anolis carolinensis]	XP_003224563	5.47448E-81	70	303.138	224	157	
a15756	histidine triad nucleotide-binding protein mitochondrial-like	1245	gi|224090227|ref|XP_002190764.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002190764	3.36995E-50	81	200.675	149	121	
a15757	histidine triad nucleotide-binding protein mitochondrial-like	1210	gi|224090227|ref|XP_002190764.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002190764	3.23002E-50	81	200.675	149	121	
a15758	transmembrane protein 14c-like	1253	gi|327270058|ref|XP_003219808.1|PREDICTED: transmembrane protein 14C-like [Anolis carolinensis]	XP_003219808	5.44868E-40	98	166.777	104	102	
a15759	protein gtlf3b	2201	gi|348560261|ref|XP_003465932.1|PREDICTED: protein GTLF3B-like [Cavia porcellus]	XP_003465932	1.76514E-53	93	212.616	113	106	
a1576	cdc42-interacting protein 4	1343	gi|149716399|ref|XP_001496419.1|PREDICTED: cdc42-interacting protein 4 isoform 1 [Equus caballus]	XP_001496419	1.38299E-137	87	491.115	315	277	
a15760	cyclin-dependent kinase 2-interacting	1110	gi|224051744|ref|XP_002200609.1|PREDICTED: cyclin-dependent kinase 2-interacting protein [Taeniopygia guttata]	XP_002200609	6.5421E-79	82	295.819	209	173	
a15762	centrosomal protein of 192 kda-like	1275	gi|297274909|ref|XP_001091387.2|PREDICTED: uncharacterized protein C18orf1-like isoform 2 [Macaca mulatta]	XP_001091387	2.77541E-31	94	137.887	67	63	
a15767	phosphoglycerate mutase 1	452	gi|348513753|ref|XP_003444406.1|PREDICTED: phosphoglycerate mutase 2-like [Oreochromis niloticus]	XP_003444406	1.34E-13	100	76.2554	37	37	
a15780	pleckstrin homology-like domain family b member 1 isoform 3	419	gi|327290136|ref|XP_003229780.1|PREDICTED: pleckstrin homology-like domain family B member 1-like [Anolis carolinensis]	XP_003229780	5.48548E-26	98	117.087	93	92	
a15783	60s acidic ribosomal protein p0	981	gi|348508120|ref|XP_003441603.1|PREDICTED: 60S acidic ribosomal protein P0 [Oreochromis niloticus]	XP_003441603	1.66215E-136	98	486.878	265	260	
a157838	v-crk sarcoma virus ct10 oncogene homolog -like	340	gi|297485046|ref|XP_002694691.1|PREDICTED: v-crk sarcoma virus CT10 oncogene homolog (avian)-like [Bos taurus]	XP_002694691	4.48544E-15	97	80.8777	43	42	
a15784	thyroid hormone-inducible hepatic	633	gi|348525380|ref|XP_003450200.1|PREDICTED: mid1-interacting protein 1-B-like [Oreochromis niloticus]	XP_003450200	9.67274E-55	85	214.157	139	119	
a158004	wd repeat-containing protein 18-like	384	gi|335282244|ref|XP_003354005.1|PREDICTED: LOW QUALITY PROTEIN: WD repeat-containing protein 18-like [Sus scrofa]	XP_003354005	5.6473E-26	88	117.087	77	68	
a15804	ras association domain-containing protein 2	554	gi|344279750|ref|XP_003411650.1|PREDICTED: ras association domain-containing protein 2-like [Loxodonta africana]	XP_003411650	2.94191E-40	86	165.622	125	108	
a15806	40s ribosomal protein s10-like	568	gi|348532494|ref|XP_003453741.1|PREDICTED: 40S ribosomal protein S10-like [Oreochromis niloticus]	XP_003453741	4.44255E-79	98	294.664	145	143	
a15808	b-cell lymphoma 6 protein isoform 1	421	gi|61098402|ref|NP_001012948.1|B-cell lymphoma 6 protein homolog [Gallus gallus]	NP_001012948	3.08608E-53	96	207.608	109	105	
a15812	PREDICTED: hypothetical protein LOC100490746 [Xenopus (Silurana) tropicalis]	1209	gi|301630008|ref|XP_002944123.1|PREDICTED: hypothetical protein LOC100490746 [Xenopus (Silurana) tropicalis]	XP_002944123	5.96897E-4	41	46.9802	211	87	
a15815	protein fam71b-like	873	gi|345326266|ref|XP_001509881.2|PREDICTED: hypothetical protein LOC100078881, partial [Ornithorhynchus anatinus]	XP_001509881	3.07863E-43	62	176.792	216	134	
a15816	centromere protein f	1689	gi|326676757|ref|XP_685984.5|PREDICTED: hypothetical protein LOC557772 [Danio rerio]	XP_685984	7.03993E-36	47	153.68	619	292	
a158187	kynurenine--oxoglutarate transaminase 1 isoform 1	377	gi|363740442|ref|XP_003642330.1|PREDICTED: kynurenine--oxoglutarate transaminase 1 isoform 1 [Gallus gallus]	XP_003642330	5.13933E-16	76	83.9593	63	48	
a15819	60s ribosomal protein l11-like	580	gi|348542227|ref|XP_003458587.1|PREDICTED: 60S ribosomal protein L11-like [Oreochromis niloticus]	XP_003458587	1.09302E-96	99	353.214	177	176	
a15820	nucleus accumbens-associated protein 1	314	gi|327281008|ref|XP_003225242.1|PREDICTED: LOW QUALITY PROTEIN: nucleus accumbens-associated protein 1-like [Anolis carolinensis]	XP_003225242	5.95496E-12	98	70.4774	62	61	
a15825	60s ribosomal protein l24	457	gi|27545227|ref|NP_775342.1|60S ribosomal protein L24 [Danio rerio]	NP_775342	6.51527E-56	92	216.853	147	136	
a15826	g1 s-specific cyclin-d3	955	gi|327271195|ref|XP_003220373.1|PREDICTED: LOW QUALITY PROTEIN: g1/S-specific cyclin-D3-like [Anolis carolinensis]	XP_003220373	7.10635E-60	78	232.261	260	203	
a15829	cytochrome c oxidase subunit mitochondrial-like	396	gi|348522957|ref|XP_003448990.1|PREDICTED: cytochrome c oxidase subunit 7A2, mitochondrial-like [Oreochromis niloticus]	XP_003448990	1.47194E-26	88	119.013	71	63	
a15831	protein apcdd1-like	865	gi|327278063|ref|XP_003223782.1|PREDICTED: protein APCDD1-like [Anolis carolinensis]	XP_003223782	3.10043E-72	99	273.092	127	126	
a15838	cytochrome c oxidase subunit 4 isoform mitochondrial-like	679	gi|348509512|ref|XP_003442292.1|PREDICTED: cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like [Oreochromis niloticus]	XP_003442292	1.21884E-77	89	290.426	169	152	
a15839	seizure protein 6 homolog	487	gi|354498187|ref|XP_003511197.1|PREDICTED: seizure protein 6, partial [Cricetulus griseus]	XP_003511197	2.1039E-77	88	288.5	162	144	
a1584	zinc finger protein 135-like	429	gi|327288773|ref|XP_003229099.1|PREDICTED: zinc finger protein 135-like [Anolis carolinensis]	XP_003229099	1.09203E-45	83	182.57	108	90	
a15842	homeobox protein meis3	1153	gi|147899101|ref|NP_001079532.1|homeobox protein meis3-B [Xenopus laevis]	NP_001079532	5.17395E-159	90	561.992	374	337	
a15843	PREDICTED: hypothetical protein LOC100690784 [Oreochromis niloticus]	636	gi|348543269|ref|XP_003459106.1|PREDICTED: hypothetical protein LOC100690784 [Oreochromis niloticus]	XP_003459106	2.88446E-6	69	53.1434	46	32	
a15848	uncharacterized protein LOC74472 [Mus musculus]	559	gi|198278494|ref|NP_083237.1|uncharacterized protein LOC74472 [Mus musculus]	NP_083237	1.49156E-15	56	83.5741	108	61	
a15850	carbonic anhydrase 14-like	423	gi|158518454|ref|NP_001103521.1|carbonic anhydrase 14 precursor [Xenopus (Silurana) tropicalis]	NP_001103521	8.12013E-46	76	182.956	140	107	
a15857	protein rufy3-like	6459	gi|327274270|ref|XP_003221901.1|PREDICTED: protein RUFY3-like [Anolis carolinensis]	XP_003221901	0.0	93	1005.74	576	540	
a15858	prolactin regulatory element-binding protein	1838	gi|148225740|ref|NP_001086056.1|prolactin regulatory element binding [Xenopus laevis]	NP_001086056	9.94897E-124	67	445.662	401	270	
a15861	transposon tx1 uncharacterized 149 kda	1336	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	3.82745E-47	60	190.66	276	167	
a15864	ammecr1-like protein	2307	gi|327267296|ref|XP_003218438.1|PREDICTED: AMMECR1-like protein-like [Anolis carolinensis]	XP_003218438	6.34781E-78	100	293.893	135	135	
a15865	zinc finger protein 570-like	448	gi|327287744|ref|XP_003228588.1|PREDICTED: zinc finger protein 570-like [Anolis carolinensis]	XP_003228588	6.32397E-5	61	47.3654	55	34	
a15867	sodium-dependent phosphate transporter 1	3164	gi|345317588|ref|XP_001511634.2|PREDICTED: sodium-dependent phosphate transporter 1-like [Ornithorhynchus anatinus]	XP_001511634	2.85644E-172	82	607.831	462	381	
a15868	transmembrane protein 223-like	614	gi|348515659|ref|XP_003445357.1|PREDICTED: transmembrane protein 223-like [Oreochromis niloticus]	XP_003445357	8.84606E-18	56	91.2781	125	70	
a15869	upstream stimulatory factor 1	1748	gi|334323839|ref|XP_001381670.2|PREDICTED: upstream stimulatory factor 1-like [Monodelphis domestica]	XP_001381670	2.91457E-125	92	450.669	310	286	
a15870	arf-gap with coiled- ank repeat and ph domain-containing protein 2	698	gi|57529600|ref|NP_001006548.1|arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 [Gallus gallus]	NP_001006548	4.86766E-85	91	315.079	180	164	
a15873	cyclin-f	3038	gi|363739755|ref|XP_415043.3|PREDICTED: cyclin-F [Gallus gallus]	XP_415043	0.0	80	1095.49	793	639	
a15875	interleukin-17 receptor d precursor	4529	gi|327266014|ref|XP_003217802.1|PREDICTED: LOW QUALITY PROTEIN: interleukin-17 receptor D-like [Anolis carolinensis]	XP_003217802	0.0	90	1306.58	707	640	
a15876	f-box lrr-repeat protein 8-like	3673	gi|327273750|ref|XP_003221643.1|PREDICTED: f-box/LRR-repeat protein 8-like [Anolis carolinensis]	XP_003221643	0.0	98	737.643	378	371	
a15877	protein yipf6-like	2227	gi|363732907|ref|XP_420160.2|PREDICTED: protein YIPF6 [Gallus gallus]	XP_420160	1.26406E-99	91	365.925	236	215	
a15878	coiled-coil domain-containing protein 34-like	1757	gi|291384750|ref|XP_002709252.1|PREDICTED: coiled-coil domain containing 34 [Oryctolagus cuniculus]	XP_002709252	8.52101E-16	74	87.0409	98	73	
a15879	coiled-coil domain-containing protein 34-like	1593	gi|291384750|ref|XP_002709252.1|PREDICTED: coiled-coil domain containing 34 [Oryctolagus cuniculus]	XP_002709252	4.53683E-21	64	104.375	290	188	
a15883	conserved plasmodium	787	gi|293361093|ref|XP_002729945.1|PREDICTED: hypothetical protein [Rattus norvegicus]	XP_002729945	2.51741E-6	46	53.9138	173	80	
a15885	cytoplasmic trna 2-thiolation protein 1	1876	gi|62751601|ref|NP_001015743.1|cytoplasmic tRNA 2-thiolation protein 1 [Xenopus (Silurana) tropicalis]	NP_001015743	4.57685E-124	84	446.817	305	259	
a15889	protein gpr107	4960	gi|71897323|ref|NP_001025857.1|protein GPR107 precursor [Gallus gallus]	NP_001025857	0.0	77	695.656	509	397	
a15890	fascin	1116	gi|126334482|ref|XP_001363553.1|PREDICTED: fascin [Monodelphis domestica]	XP_001363553	6.10204E-117	88	422.165	255	226	
a15892	transportin-3 isoform 1	4275	gi|126340681|ref|XP_001366713.1|PREDICTED: transportin-3 isoform 1 [Monodelphis domestica]	XP_001366713	0.0	94	1706.81	931	876	
a15893	solute carrier family facilitated glucose transporter member 11-like	596	gi|224071776|ref|XP_002194685.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002194685	2.96602E-23	81	109.383	86	70	
a15895	comm domain-containing protein 5	1417	gi|56605926|ref|NP_001008465.1|COMM domain-containing protein 5 [Gallus gallus]	NP_001008465	1.11777E-84	84	315.464	225	189	
a15897	chromosome 22 open reading frame 25	4717	gi|56119064|ref|NP_001007837.1|uncharacterized protein C22orf25 homolog [Gallus gallus]	NP_001007837	4.45676E-140	93	501.516	276	258	
a15898	39s ribosomal protein mitochondrial-like	1552	gi|348574706|ref|XP_003473131.1|PREDICTED: 39S ribosomal protein L41, mitochondrial-like [Cavia porcellus]	XP_003473131	4.98943E-49	80	197.208	135	109	
a15904	zinc finger protein 526	1720	gi|345784978|ref|XP_541591.3|PREDICTED: zinc finger protein 526 [Canis lupus familiaris]	XP_541591	1.92081E-105	56	384.8	509	287	
a15907	pogo transposable element with znf domain-like isoform 1	4004	gi|327286837|ref|XP_003228136.1|PREDICTED: zinc finger protein 280D-like [Anolis carolinensis]	XP_003228136	0.0	72	1316.98	970	708	
a15910	ubiquitin-conjugating enzyme e2 r1-like	1170	gi|118103188|ref|XP_423237.2|PREDICTED: ubiquitin-conjugating enzyme E2 R1 [Gallus gallus]	XP_423237	6.95034E-119	91	428.713	230	211	
a15912	ubiquitin carboxyl-terminal hydrolase cyld-like	886	gi|326918200|ref|XP_003205379.1|PREDICTED: ubiquitin carboxyl-terminal hydrolase CYLD-like [Meleagris gallopavo]	XP_003205379	2.17442E-28	62	127.487	153	96	
